Key,English(en),Portuguese (Brazil)(pt-BR),Spanish(es)
Menu Button ,Menu,Menu,Menú
Monsters Slain,Monsters Slain: ,Monstros Mortos: ,Monstruos Derrotados: 
New Best,New Best!,Novo Melhor!,Nuevo Mejor!
New Game,New Game,Novo Jogo,Nuevo Juego
Options Button,Options,Opções,Opciones
Pumpkin,Pumpkin,Abóbora,Calabaza
Reset Stats,Reset Stats Save File,Redefinir Estatísticas,Restablecer Estadísticas
Settings Tab,Settings,Configurações,Ajustes
Demented Pepper Profile,Shoots a fiery zone. Anything that walks in will be set ablaze!!!,Dispara uma zona de fogo. Quem entrar será incendiado!,Dispara una zona de fuego. ¡Quie pise se quemará!
Spuds Profile,Shoots out a bouncy projectile,Dispara um projétil rápido e letal!,Dispara un proyectil rápido y letal!
Shroom Head Profile,Shoots two spores that'll freeze anything it hits.,Atira dois esporos que congelam qualquer coisa que atingirem.,Dispara dos esporas que congelan todo lo que tocan.
Shroom Head,Shroom Head,Chapéu de cogumelo,Sombrero de Seta
Soups Cooked,Soups Cooked: ,Sopas Cozidas: ,Sopas Cocinadas: 
TOUGH Tooltip,Increases ability duration,Aumenta a duração da habilidade,Aumenta la duración de la habilidad
SPICY Tooltip,Sets enemies ablaze over time,Incendeia os inimigos por um tempo,Prende fuego a los enemigos con el tiempo
SPIKY Tooltip,Increases damage,Aumenta o dano,Aumenta el daño
Spuds,Spuds,Batatinhas,Papitas
Start Button,Start,Começar,Empezar
Stinging Nettle,Stinging Nettle,Urtiga,Ortiga
Taterhop,Taterhop,Pulatatas,Saltapapas
The (objective prompt),The,a,la
They like to crawl around,They like to crawl around,Gostam de rastejar,Les gusta gatear
Time Elapsed,Time Elapsed: ,Tempo Pasado: ,Tiempo Passado: 
Title Text,Souper Hero,Souper Herói ,Souper Héroe
Tofu,Tofu,Tofu,Tofu
Total Deaths,Total Deaths: ,Mortes Totais: ,Muertes Totales: 
Total Wins,Total Wins: ,Vitôrias Totais: ,Victorias Totales: 
VAMPIRISM Tooltip,Steals health from enemies,Rouba vida dos inimigos,Roba vida de los enemigos
Wild Mustard,Wild Mustard,Mostarda Silvestre,Mostaza Silvestre
Win Screen,Game Over,Fim do Jogo,Fin del Juego
Win Screen ,YOU'RE WINNER!!!!,Você Ganhou!!!!,Eres el Ganador!!!!
Yellow Onion,Yellow Onion,Cebola Amarela,Cebolla Amarilla
Rat Skin,Rat Skin,Pele de Ratonabo,Piel de Ratanabo
Rattish,Rattish,Ratonabo,Ratanabo
Rat Skin Profile,"Short, quick slash",Corte veloz e preciso,Corte veloz y preciso
Credits Tab,Credits,Créditos,Créditos
Exit Button,Exit,Saída,Salida
Tutorial,Tutorial,Tutorial,Tutorial
Crow Breast Profile,Allows you to place a mine at the mouse position,Permite colocar uma mina na posição do mouse,Permite colocar una mina en la posición del mouse
Continue Button,Continue,Continuar,Continuar
Cosmetics,Cosmetics,Cosméticos,Cosméticos
Sound Effects,Sound Effects,Efeitos Sonoros,Efectos de Sonido
Music,Music,Música,Música
Resolution,Resolution,Resolução,Resolución
Fullscreen,Fullscreen,Tela Cheia,Pantalla Completa
Use Grayscale,Use Grayscale,Usar Tons de Cinza,Usar Escala de Grises
Movement,Movement,Movimentação,Movimiento
Attack,Attack,Atacar,Ataque
Drink Soup,Drink Soup,Beber Sopa,Beber Sopa
Dash,Dash,Esquiva,Esquivar
Interact,Interact,Interagir,Interactuar
Pause,Pause,Pausar,Pausar
Inventory,Inventory,Inventário,Inventario
Cycle Spoon Left,Cycle Spoon Left,Trocar Colher para a Esquerda,Cambiar Cuchara a la Izquierda
Cycle Spoon Right,Cycle Spoon Right,Trocar Colher para a Direita,Cambiar Cuchara a la Derecha
Bowl 1,Bowl 1,Tigela 1,Cuenco 1
Bowl 2,Bowl 2,Tigela 2,Cuenco 2
Bowl 3,Bowl 3,Tigela 3,Cuenco 3
Bowl 4,Bowl 4,Tigela 4,Cuenco 4
Reset Keybinds,Reset ALL Keybinds,Redefinir TODOS os Atalhos	,Restablecer Todas las Teclas
Save Keybinds,Save Keybinds,Salvar Atalhos,Guardar Teclas
Credits,Credits,Créditos,Créditos
Full Timers,Full Timers,Empregados Fixos,Empleados de Tiempo Completo
Part Timers,Part Timers,Trabalhadores Temporários,Empleados de Medio Tiempo
Contractors,Contractors,Prestadores de Serviço,Contratistas
Leave Game Message,"The dungeon calls, but so does a cozy nap by the soup pot...","A caverna chama, mas uma soneca ao lado da panela de sopa também...","La cueva llama, pero también una siesta junto a la olla de sopa..."
Leave,Leave,Sair,Salir
Return,Return,Voltar,Regressar
Leave now,Leave now?,Sair Agora?,Salir Ahora?
Selected,Selected,Selecionado,Seleccionado
Achieve,"Achieve ""","Alcançar ""","Alcanzar """
Locked,Locked,Bloqueado,Bloqueado
Select,Select,Selecionar,Seleccionar
Default,Default,Padrão,Predeterminado
Blue,Blue,Azul,Azul
Blood Red,Blood Red,Vermelho Sangue,Rojo Sangre
Green,Green,Verde,Verde
The Wanderer,The Wanderer,O Andarilho,El Errante
Wanderer,Wanderer,Andarilho,Errante
Pro Chef,Pro Chef,Chef Profissional	,Chef Profesional
Vegetarian,Vegetarian,Vegetariano,Vegetariano
White,White,Branco,Blanco
Novice Chef,Novice Chef,Chef Novato,Chef Novato
Yellow,Yellow,Amarelo,Amarillo
Winner,Winner,Vencedor,Ganador
Abilities,Abilities,Habilidades,Habilidades
Broth,Broth,Caldo,Caldo
Trusty Bowl,Trusty Bowl,Tigela Fiel	,Cuenco Fiel
Ramen,Ramen,Ramen,Ramen
Otherworldly Soup,Otherworldly Soup,Sopa de Outro Mundo,Sopa de Otro Mundo
Melee,Melee,Corpo a Corpo,Cuerpo a Cuerpo
Fired Zone,Fired Zone,Zona Incendiária,Zona Incendiaria
Single Projectile,Single Projectile,Projétil Único,Proyectil Único
Double Projectile,Double Projectile,Dois Projetis,Doble Proyectil
Player Zone,Player Zone,Zona do Jogador,Zona del Jugador
Landmine,Landmine,Mina Terrestre,Mina Terrestre
Charge,Charge,Investida,Carga
Accessibilities,Accessibilities,Acessibilidade,Accesibilidad
Follow Player with Cursor,Follow Player with Cursor,Seguir o Jogador com o Cursor,Seguir al Jugador con el Cursor
Galactic Coffee,Galactic Coffee,Café Galáctico,Café Galáctico
Venison Profile,Charge forward hitting anything in your path,Avança acertando tudo no caminho,Avanza golpeando todo lo que esté en tu camino
Lettuce Ear Profile,A shield that protects you from damage,Um escudo que bloqueia o dano,Un escudo que te protege del daño
Restart,Restart,Reiniciar,Reiniciar
Cursor Movement,Cursor Movement,Movimento com Cursor,Movimiento con Cursor
Flavor,Flavor,,
Ability,Ability,,
Damage Stat Tooltip,Damage,,
Duration Stat Tooltip,Duration,,
FROSTY,FROSTY,,
SPIKY,SPIKY,,
SLIMY,SLIMY,,
SPICY,SPICY,,
TOUGH,TOUGH,,
SWEET,SWEET,,
HEAVY,HEAVY,,
VAMPIRISM,VAMPIRISM,,
Tofu Profile,"Adds TOUGH and SLIMY to any soup. 

Pairs well with SPICY",,
Yellow Onion Profile,"Adds HEAVY and SPICY to any soup. 

Pairs well with SPIKY",,
Lemon Profile,"Adds SWEET to any soup. 

Pairs well with VAMPIRISM",,
Candy Cap Profile,"Adds SWEET and FROSTY to any soup. 

Pairs well with HEAVY",,
Golden Chantarelle Profile,"Adds VAMPIRISM and TOUGH to any soup. 

Pairs well with SLIMY",,
Wild Mustard Profile,"Adds SPICY to any soup. 

Pairs well with SPIKY",,
Cat's Ear Profile,"Adds SPIKY to any soup. 

Pairs well with TOUGH",,
Kelp Profile,"Adds SLIMY and TOUGH to any soup. 

Pairs well with FROSTY",,
Stinging Nettle Profile,"Adds SPIKY to any soup. 

Pairs well with VAMPIRISM",,
Blue Elderberry Profile,"Adds SWEET and FROSTY to any soup. 

Pairs well with TOUGH",,
Garden Snail Profile,"Adds FROSTY and SLIMY to any soup. 

Pairs well with SWEET",,
Black Sage Profile,"Adds VAMPIRISM and SPICY to any soup. 

Pairs well with HEAVY",,
SWEET Tooltip,Increases attack speed and decreases soup cooldown,,
Vampirism Hitmarker,Life Steal,,
